ID,Text,Comment
Tobbert.DifficultySettingsChanger.Header,Difficulty Settings,-
Tobbert.DifficultySettingsChanger.ApplySettings,Apply settings,-
Tobbert.DifficultySettingsChanger.Disclaimer,"Note: to make sure settings are applied correctly, reload the save by saving and loading it.",-

Tobbert.DifficultySetting.WaterConsumption.Label,Water consumption (%): ,-
Tobbert.DifficultySetting.FoodConsumption.Label,Food consumption (%): ,-

Tobbert.DifficultySetting.MinTemperateWeatherDuration.Label,Min temperate weather duration: ,-
Tobbert.DifficultySetting.MaxTemperateWeatherDuration.Label,Max temperate weather duration: ,-

Tobbert.DifficultySetting.MinDroughtDuration.Label,Min drought duration: ,-
Tobbert.DifficultySetting.MaxDroughtDuration.Label,Max drought duration: ,-

Tobbert.DifficultySetting.DroughtDurationHandicapMultiplier.Label,Drought duration handicap multiplier (%): ,-
Tobbert.DifficultySetting.DroughtDurationHandicapCycles.Label,Drought duration handicap cycles: ,-

Tobbert.DifficultySetting.InjuryChanceModifier.Label,Injury chance modifier (%): ,-
Tobbert.DifficultySetting.DemolishableRecoveryRate.Label,Building refund rate (%): ,-

Tobbert.GameValueChanger.KeyBindingGroup.GameValueChanger,Game Value Changer,-
Tobbert.GameValueChanger.KeyBinding.OpenUi,Open UI,-
