ID,Text,Comment
Tobbert.TrackStraight.DisplayName,Straight Train Track,-
Tobbert.TrackStraight.Description,A Track Piece that goes straight. Can be changed to be a one way signal using the toggle when clicking on it. Creates a track section between one ways that allow a single train to be on it (indicated by the colors).,-
Tobbert.TrackStraight.FlavorDescription,Choo! Choo!,-
Tobbert.TrackOneWay.DisplayName,One way signal Track,-
Tobbert.TrackOneWay.Description,Will tell trains that they can only go through the green side. Can be changed back to a straight track by using the toggle when clicking on it. Creates a track section between one ways that allow a single train to be on it (indicated by the colors).,-
Tobbert.TrackOneWay.FlavorDescription,You... Shall... Pass...,-
Tobbert.TrackCrossing.DisplayName,Train Track Crossing,-
Tobbert.TrackCrossing.Description,Beavers can cross the tracks here. Collision will not be implemented as performance will suffer too much.,-
Tobbert.TrackCrossing.FlavorDescription,That train is approaching very fa-,RIP
Tobbert.TrackHillStart.DisplayName,Slope Track,-
Tobbert.TrackHillStart.Description,A track that lets trains go up and down.,-
Tobbert.TrackHillStart.FlavorDescription,Is the train not to heavy?,-
Tobbert.TrackCorner1x1.DisplayName,Corner 1x1 Train Track,-
Tobbert.TrackCorner1x1.Description,A Track Piece that around a corner.,-
Tobbert.TrackCorner1x1.FlavorDescription,Might be a little tight.,-
Tobbert.TrackCorner2x2.DisplayName,Corner 2x2 Train Track,-
Tobbert.TrackCorner2x2.Description,A Track Piece that around a larger corner.,-
Tobbert.TrackCorner2x2.FlavorDescription,What a nice looking curve.,-
Tobbert.TrackTIntersection1x1.DisplayName,T intersection Train Track 1x1,-
Tobbert.TrackTIntersection1x1.Description,A intersection in the form of a T for trains.,-
Tobbert.TrackTIntersection1x1.FlavorDescription,Which way should I go?,-
Tobbert.TrackTIntersection2x3.DisplayName,T intersection Train Track 2x3,-
Tobbert.TrackTIntersection2x3.Description,A intersection in the form of a T for trains.,-
Tobbert.TrackTIntersection2x3.FlavorDescription,Where will those paths lead to?,-
Tobbert.TrackXIntersection1x1.DisplayName,X intersection Train Track 1x1,-
Tobbert.TrackXIntersection1x1.Description,A intersection in the form of a X for trains.,-
Tobbert.TrackXIntersection1x1.FlavorDescription,So many options!,-
Tobbert.TrackXIntersection3x3.DisplayName,X intersection Train Track 3x3,-
Tobbert.TrackXIntersection3x3.Description,A intersection in the form of a X for trains.,-
Tobbert.TrackXIntersection3x3.FlavorDescription,I just cannot choose where to go...,-
