ID,Text,Comment
Tobbert.TrackStraight.DisplayName,直進線路,-Straight Train Track
Tobbert.TrackStraight.Description,直進する線路。「閉そく区間を分割」にチェックを入れると一方通行の信号に変更できる。1つの閉そく区間は色つきの線で表示され、一度に1編成だけ列車が入れる。,-A Track Piece that goes straight.
Tobbert.TrackStraight.FlavorDescription,チューチュー！,原文「Choo! Choo!」は機関車の「ポッポー！」のオノマトペ。
Tobbert.TrackOneWay.DisplayName,一方通行の信号,-One way signal Track
Tobbert.TrackOneWay.Description,列車を矢印の方向にしか進めないようにする線路。閉そくを区切る効果もある。1つの閉そく区間は色つきの線で表示され、一度に1編成だけ列車が入れる。,-Wil tell trains that they can only go through the green side.
Tobbert.TrackOneWay.FlavorDescription,ここへ来てはいけない！すぐ戻れ！,-千と千尋。原文「You... Shall... Pass...」はロード・オブ・ザ・リングの改変
Tobbert.TrackCrossing.DisplayName,踏切,-Train Track Crossing
Tobbert.TrackCrossing.Description,ビーバーが線路を渡ることができる。ゲームが著しく重くなるので、踏切事故は未実装。,-Beavers can cross the tracks here. Collision will not be implemented as performance will suffer too much.
Tobbert.TrackCrossing.FlavorDescription,列車は遠いから渡っちゃえ。アッ！あの列車―――速, -グモ。原文→RIP That train is approaching very fa-
Tobbert.TrackHillStart.DisplayName,勾配線路,-Slope Track
Tobbert.TrackHillStart.Description,列車の高さを変えられる線路。,-A track that lets trains go up and down.
Tobbert.TrackHillStart.FlavorDescription,勾配抵抗にご用心。,-Is the train not to heavy?
Tobbert.TrackCorner1x1.DisplayName,カーブ線路 1x1,-Corner 1x1 Train Track
Tobbert.TrackCorner1x1.Description,角を曲がるための線路。,-A Track Piece that around a corner.
Tobbert.TrackCorner1x1.FlavorDescription,ちょっとキツいかも。,-Might be a little tight.
Tobbert.TrackCorner2x2.DisplayName,カーブ線路 2x2,-Corner 2x2 Train Track
Tobbert.TrackCorner2x2.Description,より大きな角を曲がるための線路。,-A Track Piece that around a larger corner.
