ID,Text,Comment
Tobbert.TrackStraight.DisplayName,直進線路,-Straight Train Track
Tobbert.TrackStraight.Description,直進する線路。,-A Track Piece that goes straight.
Tobbert.TrackStraight.FlavorDescription,げっ歯類の列車、これが本当のチューチュートレイン。,原文「Choo! Choo!」は機関車の「ポッポー！」のオノマトペ。それを元にした日本の有名な曲名「チューチュートレイン」とネズミの鳴き声をかけた駄洒落。

Tobbert.TrackOneWay.DisplayName,一方通行の信号,-One way signal Track
Tobbert.TrackOneWay.Description,列車を矢印の方向にしか進めないようにする線路。閉そくを区切る効果もある。1つの閉そく区間は色つきの線で表示され、一度に1編成だけ列車が入れる。,-Wil tell trains that they can only go through the green side.
Tobbert.TrackOneWay.FlavorDescription,ここへ来てはいけない！すぐ戻れ！,-千と千尋。原文「You... Shall... Pass...」はロード・オブ・ザ・リングの改変

Tobbert.TrackCrossing.DisplayName,踏切,-Train Track Crossing
Tobbert.TrackCrossing.Description,ビーバーが線路を渡ることができる。ゲームが著しく重くなるので、踏切事故は未実装。,-Beavers can cross the tracks here. Collision will not be implemented as performance will suffer too much.
Tobbert.TrackCrossing.FlavorDescription,列車は遠いから渡っちゃえ。アッ！あの列車―――速, -グモ。原文→RIP That train is approaching very fa-

Tobbert.TrackHillStart.DisplayName,勾配線路,-Slope Track
Tobbert.TrackHillStart.Description,列車の高さを変えられる線路。,-A track that lets trains go up and down.
Tobbert.TrackHillStart.FlavorDescription,勾配抵抗にご用心。,-Is the train not to heavy?

Tobbert.TrackCorner1x1.DisplayName,カーブ線路 1x1,-Corner 1x1 Train Track
Tobbert.TrackCorner1x1.Description,角を曲がるための線路。,-A Track Piece that around a corner.
Tobbert.TrackCorner1x1.FlavorDescription,ちょっとキツいかも。,-Might be a little tight.

Tobbert.TrackCorner2x2.DisplayName,カーブ線路 2x2,-Corner 2x2 Train Track
Tobbert.TrackCorner2x2.Description,より大きな角を曲がるための線路。,-A Track Piece that around a larger corner.
Tobbert.TrackCorner2x2.FlavorDescription,なんてオシャレなカーブだ。,-What a nice looking curve.

Tobbert.TrackTIntersection1x1.DisplayName,丁字形ポイント線路 1x1,-T intersection Train Track
Tobbert.TrackTIntersection1x1.Description,丁字形のポイント線路。,-A intersection in the form of a T for trains.
Tobbert.TrackTIntersection1x1.FlavorDescription,どちらの線路を選ぶべきだろうか？,-Which way should I go?

Tobbert.TrackTIntersection2x3.DisplayName,丁字形ポイント線路 2x3,-T intersection Train Track
Tobbert.TrackTIntersection2x3.Description,丁字形のポイント線路。,-A intersection in the form of a T for trains.
Tobbert.TrackTIntersection2x3.FlavorDescription,その線路の先には何がある？,-Where will those paths lead to?

Tobbert.TrackRIntersectionLeft2x3.DisplayName,左片開き分岐器 2x3,-R intersection towards the right Train Track 2x3
Tobbert.TrackRIntersectionLeft2x3.Description,直進と左方向へ軌道が分かれる分岐器。,-A intersection in the form of a R for trains.
Tobbert.TrackRIntersectionLeft2x3.FlavorDescription,ポイントは転てつ器がどちらに分岐しているかだ。,原文はダジャレ。Where R we going?-A joke of the letter R

Tobbert.TrackRIntersectionRight2x3.DisplayName,右片開き分岐器 2x3,-R intersection towards the left Train Track 2x3
Tobbert.TrackRIntersectionRight2x3.Description,直進と右方向へ軌道が分かれる分岐器。,-A intersection in the form of a R for trains.
Tobbert.TrackRIntersectionRight2x3.FlavorDescription,ポイントは転てつ器がどちらに分岐しているかだ。,Where R we going?-A joke of the letter R

Tobbert.TrainStation.DisplayName,鉄道駅,-Train Station
Tobbert.TrainStation.Description,列車の目的地。,-A destination for trains.
Tobbert.TrainStation.FlavorDescription,ポッポー！,-Choo! Choo!

Tobbert.GoodsStation.DisplayName,貨物駅,-Goods station
Tobbert.GoodsStation.Description,列車で積み降ろしする貨物の保管施設。「取り扱い貨物を設定」から何を積み降ろしするのかを複数指定できる。,-"A building that holds items ready for pickup and deliveries from trains. Edit the allowed goods to specify what goods can be received and delivered."
Tobbert.GoodsStation.FlavorDescription,とくとご覧あれ、この収納力の高さを。,-Look at all the goods It can hold.
Tobbert.GoodsStation.GoodSelector,取り扱い貨物を設定,-Edit allowed goods
Tobbert.GoodsStation.Loading,積む: ,-Sending:
Tobbert.GoodsStation.Unloading,降ろす: ,-Receiving:

Tobbert.WaitingStation.DisplayName,待避線,-Waiting Station
Tobbert.WaitingStation.Description,仕事の無い列車が他の列車の妨げにならないように待避する場所。列車はここを通るような経路探索ができないため、重要な経路の上に建てないように注意。,-"Trains can wait here when they have nothing to do. This prevents trains from occupying the tracks. Trains cannot pathfind over this so make sure its not in any crucial paths."
Tobbert.WaitingStation.FlavorDescription,次の出発はいつかな？,-When can I go again?

Tobbert.TrainYard.DisplayName,操車場,-Train Yard
Tobbert.TrainYard.Description,列車を新造するための施設。,-A building that creates trains.
Tobbert.TrainYard.FlavorDescription,ここで列車が作られる。,-This is where trains are born.
Tobbert.TrainYard.CostOfTrain,1編成の建造費:,-Cost of 1 train:
Tobbert.TrainYard.CreateTrain,列車を新造する,-Create train

Tobbert.Train.PrefabName,機関車,-Train
Tobbert.Wagon.PrefabName,貨車,-Wagon

Tobbert.WagonModel.Box,有蓋車,-Box Wagon
Tobbert.WagonModel.Liquid,タンク車,-Tank Wagon
Tobbert.WagonModel.Flat,長物車,-Flat Wagon
Tobbert.WagonModel.Gondola,無蓋車,-Gondola Wagon

Tobbert.BatchControl.Trains,列車,-Trains
Tobbert.Train.Length,編成両数: ,他候補：編成長-Train Length: 
Tobbert.Train.Destroy,本当に選択中の列車を撤去しますか？,-Are you sure you want to destroy this train?

Tobbert.TrainSchedule.AddNewStation,新しい駅,-New Station
Tobbert.TrainSchedule.AddNewTrainAction,新しい運行計画,-New Action

Tobbert.TrainAction.Wait,停車,-Wait
Tobbert.TrainAction.Wait.WaitingInMinutes,停車時間: ,-Hours to wait: 

Tobbert.TrainAction.TakeGoods,貨物積降,-Take Goods
Tobbert.TrainAction.TakeGoods.TakeGoodAmount,貨物扱い: ,-

Tobbert.TrackSystem.ToggleSectionDivider,閉そく区間を分割： ,-Divides sections: 
Tobbert.TrackSystem.ButtonChangeDirection,向きを変える,-Change direction
Tobbert.TrackSystem.CollidingSectionDividers,閉そくを連続して区切る配置はできません,-Cannot connect 2 Section Dividers

Tobbert.ToolGroup.Trains,鉄道,-Trains

Tobbert.TrainYard.PreviewErrorMessage,Only 1 Train Yard can be build,-未使用？

Tobbert.Trains.UnlockPrompt,{1}を建設するには、先に{0}を解放してください。,{0} stands for <Building>.DisplayName {1} stands for <TrackPiece>.DisplayName.

Tobbert.DistributionTrain.MinimumOfItemsToMove,最小輸送ロット数: ,-Minimum of items to move: 

