ID,Text,Comment
Tobbert.BrickPath.DisplayName,レンガの道,-
Tobbert.BrickPath.Description,街の雰囲気を変えるための見た目が違う道。,-
Tobbert.BrickPath.FlavorDescription,真夏の昼には歩いちゃだめ。,-

Tobbert.FrogPath.DisplayName,カエルの道,-
Tobbert.FrogPath.Description,街の雰囲気を変えるための見た目が違う道。,-
Tobbert.FrogPath.FlavorDescription,"ピョンピョン、ゲコ。",-

Tobbert.Gravel1Path.DisplayName,砂利道1,-
Tobbert.Gravel1Path.Description,街の雰囲気を変えるための見た目が違う道。,-
Tobbert.Gravel1Path.FlavorDescription,「この道を歩いて、足が痛まなければ良いんだけど。」―名無しのビーバー,-

Tobbert.Gravel2Path.DisplayName,砂利道2,-
Tobbert.Gravel2Path.Description,街の雰囲気を変えるための見た目が違う道。,-
Tobbert.Gravel2Path.FlavorDescription,「この道を歩いて、足が痛まなければ良いんだけど。」―名無しのビーバー,-

Tobbert.StonePath.DisplayName,石の道,-
Tobbert.StonePath.Description,街の雰囲気を変えるための見た目が違う道。,-
Tobbert.StonePath.FlavorDescription,真夏の昼には歩いちゃだめ。,-

Tobbert.MetalPath.DisplayName,鉄の道,-
Tobbert.MetalPath.Description,街の雰囲気を変えるための見た目が違う道。,-
Tobbert.MetalPath.FlavorDescription,夜中はひんやり冷たい。,-

Tobbert.WoodFolktails.DisplayName,フォークテイルの木の道,-
Tobbert.WoodFolktails.Description,街の雰囲気を変えるための見た目が違う道。,-
Tobbert.WoodFolktails.FlavorDescription,"",-

Tobbert.WoodIronTeeth.DisplayName,アイアンティースの木の道,-
Tobbert.WoodIronTeeth.Description,街の雰囲気を変えるための見た目が違う道。,-
Tobbert.WoodIronTeeth.FlavorDescription,"",-

"Tobbert.CategoryPaths.DisplayName",道,-
