ID,Text,Comment
Tobbert.VerticalPowerShaft.DisplayName,垂直パワーシャフト,-
Tobbert.VerticalPowerShaft.Description,垂直に動力を伝達するパワーシャフト。,-
Tobbert.VerticalPowerShaft.FlavorDiscription,「ストレート・パワーシャフトを縦にしたら駄目なの？」―かしこいビーバー,-「かしこい」は若干間抜けなニュアンスを含ませるためにわざと平仮名になっている。

Tobbert.StraightToVerticalPowerShaft.DisplayName,垂直ト字パワーシャフト,-
Tobbert.StraightToVerticalPowerShaft.Description,縦にも横にも動力を伝達するパワーシャフト。,-
Tobbert.StraightToVerticalPowerShaft.FlavorDiscription,「技術的にはこれだけでも良いけど、それだと見栄えが悪いよね。」―かしこいビーバー,-「かしこい」は若干間抜けなニュアンスを含ませるためにわざと平仮名になっている。

Tobbert.VerticalToStraightPowerShaft.DisplayName,垂直Γ字パワーシャフト,-
Tobbert.VerticalToStraightPowerShaft.Description,動力を縦から横に伝達するパワーシャフト。,-
Tobbert.VerticalToStraightPowerShaft.FlavorDiscription,「いちばん上にあるとカッコいい！」―かしこいビーバー,-「かしこい」は若干間抜けなニュアンスを含ませるためにわざと平仮名になっている。

Tobbert.UniversalPowerShaft.DisplayName,汎用パワーシャフト,-
Tobbert.UniversalPowerShaft.Description,接続先によって自動で形が変化するパワーシャフト。,-
Tobbert.UniversalPowerShaft.FlavorDiscription,やはり動力‥‥！！　動力は全てを解決する‥‥！！,- 犯人たちの事件簿より。原文のUNLIMITED POWER!はスターウォーズのミーム。他候補「パワー！喰らえー！」←原文に忠実だが喰らえの意味が分からない。「パパパッパッパッパ、パァウァー!!」←日本でも有名なミームだが古くて知らない人が多いかも？「パワー！」←翻訳放棄。きんに君だと思ってもらえるかもしれない。
