ID,Text,Comment
Tobbert.HorizontalPlatformEnd1x1.DisplayName,Парящая платформа 1x1,-
Tobbert.HorizontalPlatformEnd1x1.Description,"Платформа, которую можно построить сбоку на скале, дамбе или усиленной платформе.",-
Tobbert.HorizontalPlatformEnd1x1.FlavorDescription,"Представьте, что если бы их можно было строить друг на друге...",-
Tobbert.HorizontalPlatformEnd2x1.DisplayName,Парящая платформа 2x1,-
Tobbert.HorizontalPlatformEnd2x1.Description,"Платформа, которую можно построить сбоку на скале, дамбе или усиленной платформе.",-
Tobbert.HorizontalPlatformEnd2x1.FlavorDescription,"Больше платформа - больше радости!",-
Tobbert.HorizontalPlatformEnd3x1.DisplayName,Парящая платформа 3x1,-
Tobbert.HorizontalPlatformEnd3x1.Description,"Платформа, которую можно построить сбоку на скале, дамбе или усиленной платформе.",-
Tobbert.HorizontalPlatformEnd3x1.FlavorDescription,"Для серьёзных ребят.",-
Tobbert.HorizontalPlatformEnd4x1.DisplayName,Парящая платформа 4x1,-
Tobbert.HorizontalPlatformEnd4x1.Description,"Платформа, которую можно построить сбоку на скале, дамбе или усиленной платформе.",-
Tobbert.HorizontalPlatformEnd4x1.FlavorDescription,"Физика так не работает!",-

Tobbert.HorizontalPlatformMiddle1x1.DisplayName,Сегмент парящей платформы высотой 1,-
Tobbert.HorizontalPlatformMiddle1x1.Description,"Платформа, которую можно построить где угодно. Для диких архитектурных фантазий!",-
Tobbert.HorizontalPlatformMiddle1x1.FlavorDescription,"Давайте воздвигнем город в облаках!",-
Tobbert.HorizontalPlatformMiddle1x2.DisplayName,Сегмент парящей платформы высотой 1.5,-
Tobbert.HorizontalPlatformMiddle1x2.Description,"Платформа, которую можно построить где угодно. Для дичайших архитектурных фантазий!",-
Tobbert.HorizontalPlatformMiddle1x2.FlavorDescription,"Когда надо ещё выше!",-

Tobbert.ReinforcedPlatform.DisplayName,Усиленная платформа,-
Tobbert.ReinforcedPlatform.Description,"Платформа, которую можно использовать с парящими платформами. Выглядит лучше, чем дамба.",-
Tobbert.ReinforcedPlatform.FlavorDescription,"Построим высокие платформы!",-
Tobbert.DoubleReinforcedPlatform.DisplayName,Двойная усиленная платформа,-
Tobbert.DoubleReinforcedPlatform.Description,"Платформа, которую можно использовать с парящими платформами. Выглядит лучше, чем дамба.",-
Tobbert.DoubleReinforcedPlatform.FlavorDescription,"Построим высокие-высокие платформы!",-
Tobbert.TripleReinforcedPlatform.DisplayName,Тройная усиленная платформа,-
Tobbert.TripleReinforcedPlatform.Description,"Платформа, которую можно использовать с парящими платформами. Выглядит лучше, чем дамба.",-
Tobbert.TripleReinforcedPlatform.FlavorDescription,"Мои платформы пронзят небеса!!",-

Tobbert.CategoryReinforcedPlatforms.DisplayName,"Усиленные платформы",-
Tobbert.CategorySidePlatforms.DisplayName,"Парящие платформы",-
