ID,Text,Comment
Tobbert.VerticalPowerShaft.DisplayName,垂直能量傳動軸,-
Tobbert.VerticalPowerShaft.Description,可以垂直傳輸能量的傳動軸！,-
Tobbert.VerticalPowerShaft.FlavorDiscription,''如果我將傳動軸旋轉 90 度會怎樣？''－油膩海貍,-

Tobbert.StraightToVerticalPowerShaft.DisplayName,能量傳動軸垂直彎角,-
Tobbert.StraightToVerticalPowerShaft.Description,可以將能量在水平與垂直間轉換！,-
Tobbert.StraightToVerticalPowerShaft.FlavorDiscription,''從技術上講，我只需要使用這個。但這看起來不太好！''－油膩海貍,-

Tobbert.VerticalToStraightPowerShaft.DisplayName,能量傳動軸垂直T型接口,-
Tobbert.VerticalToStraightPowerShaft.Description,在垂直能量傳動軸旁加上水平接口。,-
Tobbert.VerticalToStraightPowerShaft.FlavorDiscription,''從上面看還不錯！''－油膩海貍,-

Tobbert.UniversalPowerShaft.DisplayName,萬向能量傳動軸,-
Tobbert.UniversalPowerShaft.Description,各種方向皆可傳輸能量的傳動軸！,-
Tobbert.UniversalPowerShaft.FlavorDiscription,無限能量！,-
